id,split,caption
train_07667,train,"The image shows two poison dart frogs with distinct patterns. The frog in the foreground has a black body with yellow stripes and spots, while the frog in the background has a green body with black spots. Both frogs have long legs and are positioned on a green surface. There is no visible text or labels in the image."
train_02628,train,"The image shows two baby baboons interacting with each other. One baboon is lying on its back, while the other is standing over it, appearing to playfully interact with the first one's foot. The background features greenery and water, suggesting a natural habitat. There is no visible text or labels within the image itself."
train_00927,train,"The image shows a group of lions resting together in a grassy area. There are at least four lions visible, with one lion standing up while the others are lying down. The lions appear relaxed and are positioned close to each other. The background consists of greenery, indicating a natural habitat. There is no visible text or labels within the image itself."
train_10389,train,"The image shows a bird in flight, holding an object in its beak. The bird has white feathers with black markings on its head and wings. The background appears to be a natural setting with water and greenery. There is a small logo or icon in the bottom right corner of the image."
train_09024,train,"The image shows a close-up of a fish with a textured, patterned body. The fish has a prominent eye with a red iris and a light-colored pupil. The background appears to be a rocky surface, possibly part of an aquarium or natural habitat. There are no visible texts or labels within the image itself."
train_07987,train,"The image shows a lizard with a long tail, positioned on a leafy background. The lizard has a light brown coloration with darker markings along its back. The leaves and twigs in the background are a mix of green and brown hues. There is a small logo in the bottom right corner that resembles a circle with a design inside it."
train_02336,train,"The image shows an earwig with eggs attached to its abdomen. The earwig has a reddish-brown body with darker segments and a pair of pincers at the end of its abdomen. The eggs are small, white, and oval-shaped, clustered together near the earwig's abdomen. There is no visible text or labels in the image. The background appears to be soil, indicating that the earwig is in its natural habitat."
train_03216,train,"The image shows a bird perched on a branch. The bird has a grayish-brown plumage with a lighter underside. Its beak is short and pointed, and its tail is long and slightly forked. The background appears to be a wooden structure, possibly a fence or a cage. There are no visible texts or labels within the image itself."
train_07464,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The top row and left column represent the alleles for a particular gene, with 'G' representing the dominant allele and 'g' representing the recessive allele. The squares in the Punnett square show the resulting combinations of alleles that could be inherited by offspring. The alleles 'GG', 'Gg', and 'gg' are written inside the squares, indicating the genotype combinations for each offspring."
train_02324,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for a particular trait are labeled as A (dominant) and a (recessive). The Punnett square has four boxes:

- Top row labels: A and a
- Left column labels: A and a
- The boxes contain the following combinations:
  - AA in the top-left box
  - Aa in the top-right box
  - Aa in the bottom-left box
  - aa in the bottom-right box

The alleles are written in blue text within the boxes."
train_03672,train,"The image shows a 2x2 grid with the letters ""B"" and ""BB"" arranged within the cells. The top row has two cells labeled ""B,"" and the bottom row also has two cells labeled ""B."" Each cell containing ""BB"" is highlighted in blue. There are no additional labels, titles, or annotations present in the image. The visual structure is a simple grid layout with a consistent color scheme for the text."
train_00006,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the given genotypes. The top row and left column represent the alleles for a particular gene, with ""M"" representing the dominant allele and ""m"" representing the recessive allele. The squares in the Punnett square show the combinations of alleles that can be inherited by the offspring. The alleles are written inside each square, with ""MM,"" ""Mm,"" and ""mm"" being the possible combinations."
train_11068,train,"The image presents a timeline of Islamic Caliphates from 632 to 910. It highlights the following periods:

- **632 – 685**: The first four caliphs, called the Rightly Guided Caliphs, rule.
- **685 – 750**: The Umayyad Caliphate rules.
- **750 – 945**: The Abbasid Caliphate rules.
- **910**: The Fatimid Caliphate begins in North Africa.

Additionally, it marks the death of Muhammad, the founder and most important prophet in Islam, in 632. The timeline uses blue boxes for each period and a horizontal line with arrows indicating the start and end dates."
train_12520,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with a specific genotype. The alleles 'D' and 'd' are used to represent dominant and recessive traits, respectively. The Punnett square has four boxes, each labeled with 'Dd'. The top row and left column both have 'D' and 'd', indicating that both parents carry one 'D' allele and one 'd' allele. The squares are filled with 'Dd', suggesting that all offspring will be heterozygous for this trait."
train_11218,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The top row and left column have the alleles 'F' and 'f'. The squares within the Punnett square contain combinations of these alleles, resulting in the following combinations:

- FF
- Ff
- Ff
- ff

The colors are blue for all alleles. The Punnett square is a grid with four cells, each representing a possible offspring genotype."
train_05607,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with the genotype Ff. The squares are labeled with the alleles F and f for each parent. The resulting genotypes are Ff, Ff, Ff, and Ff, all appearing twice. The colors are blue for the alleles and white for the background. There are no additional labels or annotations outside the Punnett square itself."
train_08803,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with known genotypes. The alleles for eye color are represented by 'E' (dominant) and 'e' (recessive). The Punnett square has four boxes:

- Top row labels: E (dominant allele), e (recessive allele)
- Left column labels: E (dominant allele), e (recessive allele)

The squares contain the following combinations:
- EE in the top left box
- Ee in the top right box
- Ee in the bottom left box
- ee in the bottom right box

The colors are blue for 'E' and 'e', and there are no additional labels or annotations beyond the alleles and their combinations."
train_05726,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with specific alleles for eye color. The alleles 'E' represent the dominant allele for brown eyes, and 'e' represents the recessive allele for blue eyes. The Punnett square has four boxes:

- Top row: E (brown) and e (blue)
- Left column: e (blue) and e (blue)

The squares contain the following combinations:
- Top left: Ee (brown)
- Top right: ee (blue)
- Bottom left: Ee (brown)
- Bottom right: ee (blue)

The colors 'Ee' and 'ee' are highlighted in blue."
train_09621,train,"The image shows a table with four cells arranged in a 2x2 grid. Each cell contains the text ""AA"" in blue. The top row has two cells labeled ""A"" on the left side of each cell. The left column also has the label ""A"" above the first two cells. The table appears to be part of a genetics or probability question, likely involving the inheritance of alleles."
train_00887,train,"The image shows a Punnett square, which is used in genetics to predict the possible outcomes of a genetic cross. The alleles for the gene being studied are G (dominant) and g (recessive). The top row and left column represent the alleles contributed by each parent. The squares in the Punnett square show the possible combinations of alleles that can be inherited by offspring. The alleles 'Gg' appear twice, indicating that there are two possible genotypes for the offspring, both with one dominant allele (G) and one recessive allele (g)."
train_04332,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the genotype Mm. The squares are labeled as follows:

- The top row has 'm' and 'm'.
- The left column has 'M' and 'm'.

The Punnett square is divided into four boxes:
1. Top left box: 'Mm'
2. Top right box: 'Mm'
3. Bottom left box: 'mm'
4. Bottom right box: 'mm'

The text within the boxes is colored blue. The Punnett square visually represents the probability of each genotype occurring when an Mm parent mates with another Mm parent."
train_04556,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for the trait being studied are B (dominant) and b (recessive). The squares are labeled as follows:

- Top row: B (dominant allele)
- Left column: B (dominant allele) and b (recessive allele)

The resulting genotypes are:
- BB (homozygous dominant)
- Bb (heterozygous)
- Bb (heterozygous)
- bb (homozygous recessive)

The Punnett square is a grid with four boxes, each representing a possible combination of alleles from the parents. The colors are blue for the alleles and white for the background."
train_07522,train,"The image shows a 2x2 grid with the letters ""B"" and ""BB"" arranged within the cells. The top row has two cells labeled ""B,"" and the bottom row also has two cells labeled ""B."" Each cell containing ""BB"" is highlighted in blue. There are no additional labels, titles, or annotations present in the image. The visual structure is a simple grid layout with a consistent color scheme for the text."
train_05975,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the genotype Mm. The squares are labeled as follows:

- The top row has 'm' and 'm'.
- The left column has 'M' and 'm'.

The Punnett square is divided into four boxes:
1. Top left box: 'Mm'
2. Top right box: 'Mm'
3. Bottom left box: 'mm'
4. Bottom right box: 'mm'

The text within the boxes is colored blue. The Punnett square visually represents the probability of each genotype occurring when an Mm parent mates with another Mm parent."
train_12442,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with specific genotypes. The top row and left column have the alleles ""M"" (capital) and ""m"" (small), representing dominant and recessive traits respectively. The squares in the Punnett square contain the resulting combinations of alleles for each offspring, with ""Mm"" and ""mm"" being the possible genotypes. The colors blue and white are used to differentiate the alleles, with blue representing ""M"" and white representing ""m""."
train_09049,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
train_08454,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the genotype Mm. The squares are labeled as follows:

- Top row: M (M) and M (M)
- Left column: m (m) and m (m)

Each square contains the genotype ""Mm,"" indicating that the offspring will have the same genotype as their parents. The Punnett square is a grid with four boxes, each representing a potential combination of alleles from the parents."
train_12421,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the genotype Mm. The squares are labeled as follows:

- Top row: M (M) and M (M)
- Left column: m (m) and m (m)

Each square contains the genotype ""Mm,"" indicating that the offspring will have the same genotype as their parents. The Punnett square is a grid with four boxes, each representing a potential combination of alleles from the parents."
train_07947,train,"The image shows a table with four cells arranged in a 2x2 grid. The top row has two 'b' labels, and the left column has three 'b' labels. Each cell contains the text 'bb' in blue. The table is bordered by light gray lines, and the background of the cells is white. There are no additional labels, titles, or annotations present in the image."
train_03445,train,"The image shows a Punnett square used in genetics to predict the possible genotypes of offspring resulting from a cross between two parents with the genotype Mm. The squares are labeled as follows:

- The top row has 'm' and 'm'.
- The left column has 'M' and 'm'.

The Punnett square is divided into four boxes:
1. Top left box: 'Mm'
2. Top right box: 'Mm'
3. Bottom left box: 'mm'
4. Bottom right box: 'mm'

The text within the boxes is colored blue. The Punnett square visually represents the probability of each genotype occurring when an Mm parent mates with another Mm parent."
train_10355,train,"The image shows a Punnett square used in genetics to predict the possible outcomes of a cross between two parents with known genotypes. The alleles for each parent are labeled as A (dominant) and a (recessive). The squares represent the combinations of alleles that can be inherited by offspring. The alleles are written inside the squares, with ""AA"" indicating a homozygous dominant genotype, ""Aa"" indicating a heterozygous genotype, and ""aa"" indicating a homozygous recessive genotype."
